Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment,churn_risk
12418,113,4,2021.2,2,3,3,233,Need Attention,High
12419,386,2,503.01,1,2,2,122,Lost,Low
12420,64,1,600.39,3,1,2,312,Promising,Low
12421,16,6,1098.6,4,3,3,433,Champions,Low
12422,96,17,5231.8,3,4,4,344,Champions,High
12423,1,10,2622.39,4,4,4,444,Champions,Low
12424,163,4,3340.03,2,3,4,234,Need Attention,High
12425,78,2,1741.41,3,2,3,323,Loyal,Low
12426,195,2,1345.21,2,2,3,223,Need Attention,Low
12427,22,3,1129.3,4,2,3,423,Loyal,Low
12428,26,9,7956.46,4,4,4,444,Champions,Low
12429,9,8,7485.91,4,4,4,444,Champions,Low
12430,43,1,256.4,3,1,1,311,Promising,Low
12431,36,27,10857.97,3,4,4,344,Champions,Low
12432,43,5,5059.32,3,3,4,334,Champions,Low
12433,1,10,20581.26,4,4,4,444,Champions,Low
12434,85,3,1103.43,3,2,3,323,Loyal,Low
12435,80,6,13925.93,3,3,4,334,Champions,Low
12436,100,1,509.01,2,1,2,212,Lost,Low
12437,2,39,12683.4,4,4,4,444,Champions,Low
12438,14,2,2906.85,4,2,4,424,Loyal,Low
12439,683,2,1158.18,1,2,3,123,Lost,Low
12440,462,2,859.2,1,2,2,122,Lost,Low
12441,367,1,347.1,2,1,1,211,Lost,Low
12442,3,1,172.06,4,1,1,411,Promising,Low
12443,732,1,485.31,1,1,2,112,Lost,Low
12444,21,5,5005.46,4,3,4,434,Champions,Low
12445,22,2,434.98,4,2,2,422,Loyal,Low
12446,58,1,1002.31,3,1,3,313,Promising,Low
12447,243,1,476.49,2,1,2,212,Lost,Low
12448,44,1,449.45,3,1,2,312,Promising,Low
12449,22,6,4835.89,4,3,4,434,Champions,Low
12450,156,5,688.2,2,3,2,232,Need Attention,High
12451,11,8,12669.88,4,4,4,444,Champions,Low
12452,17,2,430.57,4,2,2,422,Loyal,Low
12453,134,1,707.09,2,1,2,212,Lost,Low
12454,56,5,16679.78,3,3,4,334,Champions,Low
12455,73,10,5879.95,3,4,4,344,Champions,Low
12456,44,3,3181.04,3,2,4,324,Loyal,Low
12457,66,8,2995.91,3,4,4,344,Champions,Low
12458,71,4,1777.49,3,3,3,333,Champions,Low
12459,605,1,454.36,1,1,2,112,Lost,Low
12460,456,1,326.65,1,1,1,111,Lost,Low
12461,94,2,826.88,3,2,2,322,Loyal,Low
12462,19,2,1189.59,4,2,3,423,Loyal,Low
12463,53,4,1344.78,3,3,3,333,Champions,Low
12464,10,8,1212.05,4,4,3,443,Champions,Low
12465,17,2,742.19,4,2,2,422,Loyal,Low
12466,682,1,56.73,1,1,1,111,Lost,Low
12467,423,1,132.8,1,1,1,111,Lost,Low
12468,188,5,3670.74,2,3,4,234,Need Attention,High
12469,523,2,3070.54,1,2,4,124,Lost,Low
12470,690,1,211.95,1,1,1,111,Lost,Low
12471,2,79,39963.79,4,4,4,444,Champions,Low
12472,32,19,17880.59,3,4,4,344,Champions,Low
12473,29,5,3938.55,3,3,4,334,Champions,Low
12474,17,31,12424.45,4,4,4,444,Champions,Low
12475,54,2,1149.64,3,2,3,323,Loyal,Low
12476,16,23,14115.41,4,4,4,444,Champions,Low
12477,23,9,20276.37,4,4,4,444,Champions,Low
12478,4,1,680.99,4,1,2,412,Promising,Low
12479,11,1,527.2,4,1,2,412,Promising,Low
12480,28,7,5464.85,3,3,4,334,Champions,Low
12481,23,15,12361.39,4,4,4,444,Champions,Low
12482,576,29,23691.4,1,4,4,144,At Risk,High
12483,17,19,5120.58,4,4,4,444,Champions,Low
12484,33,12,6370.15,3,4,4,344,Champions,Low
12485,529,1,708.1,1,1,2,112,Lost,Low
12486,432,1,1037.28,1,1,3,113,Lost,Low
12487,731,1,285.3,1,1,1,111,Lost,Low
12488,10,3,1298.66,4,2,3,423,Loyal,Low
12489,336,1,334.93,2,1,1,211,Lost,Low
12490,5,21,9823.64,4,4,4,444,Champions,Low
12491,39,1,460.4,3,1,2,312,Promising,Low
12492,63,3,715.21,3,2,2,322,Loyal,Low
12493,166,2,433.74,2,2,2,222,Need Attention,Low
12494,16,9,1872.87,4,4,3,443,Champions,Low
12495,641,1,357.4,1,1,2,112,Lost,Low
12496,620,2,54.09,1,2,1,121,Lost,Low
12497,82,3,6248.5,3,2,4,324,Loyal,Low
12498,21,3,403.7,4,2,2,422,Loyal,Low
12499,560,1,393.72,1,1,2,112,Lost,Low
12500,23,19,5955.21,4,4,4,444,Champions,Low
12501,337,1,2169.39,2,1,3,213,Lost,Low
12502,96,5,3723.87,3,3,4,334,Champions,High
12503,584,1,1126.0,1,1,3,113,Lost,Low
12504,18,4,779.05,4,3,2,432,Loyal,Low
12505,409,1,955.2,1,1,3,113,Lost,Low
12506,233,1,73.5,2,1,1,211,Lost,Low
12507,134,4,1844.06,2,3,3,233,Need Attention,High
12508,26,2,398.27,4,2,2,422,Loyal,Low
12509,284,1,176.5,2,1,1,211,Lost,Low
12510,143,9,5178.02,2,4,4,244,Need Attention,High
12511,429,1,3084.02,1,1,4,114,Lost,Low
12512,66,2,138.03,3,2,1,321,Loyal,Low
12513,113,1,612.29,2,1,2,212,Lost,Low
12514,267,2,1597.76,2,2,3,223,Need Attention,Low
12515,353,1,383.7,2,1,2,212,Lost,Low
12516,78,4,2648.62,3,3,4,334,Champions,Low
12517,28,5,2502.84,3,3,4,334,Champions,Low
12518,1,5,2056.89,4,3,3,433,Champions,Low
12519,64,2,726.54,3,2,2,322,Loyal,Low
12520,79,5,2634.26,3,3,4,334,Champions,Low
12521,143,1,599.68,2,1,2,212,Lost,Low
12522,39,2,192.72,3,2,1,321,Loyal,Low
12523,19,23,4372.15,4,4,4,444,Champions,Low
12524,9,17,11126.11,4,4,4,444,Champions,Low
12525,498,3,973.73,1,2,3,123,Lost,Low
12526,1,3,1316.66,4,2,3,423,Loyal,Low
12527,82,5,735.51,3,3,2,332,Loyal,Low
12528,9,6,1933.48,4,3,3,433,Champions,Low
12529,528,1,316.48,1,1,1,111,Lost,Low
12530,60,9,3759.26,3,4,4,344,Champions,Low
12531,15,2,1933.2,4,2,3,423,Loyal,Low
12532,30,1,349.83,3,1,2,312,Promising,Low
12533,628,2,1367.89,1,2,3,123,Lost,Low
12534,131,1,1089.18,2,1,3,213,Lost,Low
12535,92,2,716.35,3,2,2,322,Loyal,Low
12536,43,3,12601.83,3,2,4,324,Loyal,Low
12537,409,1,732.94,1,1,2,112,Lost,Low
12538,29,2,640.45,3,2,2,322,Loyal,Low
12539,22,7,11214.75,4,3,4,434,Champions,Low
12540,20,33,22254.49,4,4,4,444,Champions,Low
12541,30,3,981.18,3,2,3,323,Loyal,Low
12542,484,2,481.88,1,2,2,122,Lost,Low
12543,448,1,980.25,1,1,3,113,Lost,Low
12544,36,1,372.7,3,1,2,312,Promising,Low
12545,75,2,1000.39,3,2,3,323,Loyal,Low
12546,47,2,1161.5,3,2,3,323,Loyal,Low
12547,198,3,383.58,2,2,2,222,Need Attention,Low
12548,166,1,95.2,2,1,1,211,Lost,Low
12549,576,6,1575.68,1,3,3,133,At Risk,High
12550,79,1,964.83,3,1,3,313,Promising,Low
12551,358,1,168.0,2,1,1,211,Lost,Low
12552,39,2,437.82,3,2,2,322,Loyal,Low
12553,8,12,4608.75,4,4,4,444,Champions,Low
12554,449,1,468.5,1,1,2,112,Lost,Low
12555,682,1,129.23,1,1,1,111,Lost,Low
12556,50,2,603.71,3,2,2,322,Loyal,Low
12557,16,8,18716.14,4,4,4,444,Champions,Low
12558,8,1,269.96,4,1,1,411,Promising,Low
12559,311,2,561.71,2,2,2,222,Need Attention,Low
12560,5,3,2134.01,4,2,3,423,Loyal,Low
12561,303,1,238.85,2,1,1,211,Lost,Low
12562,8,9,4966.92,4,4,4,444,Champions,Low
12563,409,1,249.24,1,1,1,111,Lost,Low
12564,261,1,456.9,2,1,2,212,Lost,Low
12565,289,1,145.92,2,1,1,211,Lost,Low
12566,86,1,351.65,3,1,2,312,Promising,Low
12567,23,15,13709.86,4,4,4,444,Champions,Low
12568,645,1,70.0,1,1,1,111,Lost,Low
12569,2,32,4124.69,4,4,4,444,Champions,Low
12570,682,1,77.52,1,1,1,111,Lost,Low
12571,40,2,519.61,3,2,2,322,Loyal,Low
12572,9,2,1020.42,4,2,3,423,Loyal,Low
12573,227,5,717.41,2,3,2,232,Need Attention,High
12574,316,1,218.45,2,1,1,211,Lost,Low
12575,457,2,622.82,1,2,2,122,Lost,Low
12576,36,8,2142.72,3,4,3,343,Champions,Low
12577,35,8,1653.75,3,4,3,343,Champions,Low
12578,21,4,4642.45,4,3,4,434,Champions,Low
12579,78,1,440.42,3,1,2,312,Promising,Low
12580,247,2,1052.9,2,2,3,223,Need Attention,Low
12581,40,1,197.71,3,1,1,311,Promising,Low
12582,239,4,1980.4,2,3,3,233,Need Attention,High
12583,3,27,14447.44,4,4,4,444,Champions,Low
12584,4,9,2338.15,4,4,4,444,Champions,Low
12585,234,2,2040.1,2,2,3,223,Need Attention,Low
12586,17,4,2062.67,4,3,3,433,Champions,Low
12587,8,1,144.0,4,1,1,411,Promising,Low
12588,39,4,958.78,3,3,3,333,Champions,Low
12589,29,8,4695.66,3,4,4,344,Champions,Low
12590,211,2,9864.26,2,2,4,224,Need Attention,Low
12591,317,3,1352.15,2,2,3,223,Need Attention,Low
12592,92,5,2582.66,3,3,4,334,Champions,High
12593,109,3,418.1,2,2,2,222,Need Attention,Low
12594,38,15,5090.11,3,4,4,344,Champions,Low
12595,505,1,299.02,1,1,1,111,Lost,Low
12596,51,2,618.27,3,2,2,322,Loyal,Low
12597,19,4,3811.22,4,3,4,434,Champions,Low
12598,10,11,4534.09,4,4,4,444,Champions,Low
12599,29,13,2296.72,3,4,3,343,Champions,Low
12600,29,21,5043.92,3,4,4,344,Champions,Low
12601,190,6,681.26,2,3,2,232,Need Attention,High
12602,59,1,153.12,3,1,1,311,Promising,Low
12603,22,1,739.2,4,1,2,412,Promising,Low
12604,79,2,254.18,3,2,1,321,Loyal,Low
12605,376,4,1232.95,2,3,3,233,Need Attention,High
12606,682,1,21.0,1,1,1,111,Lost,Low
12607,60,1,1579.51,3,1,3,313,Promising,Low
12608,405,1,415.79,1,1,2,112,Lost,Low
12609,78,9,3435.86,3,4,4,344,Champions,Low
12610,23,5,2099.54,4,3,3,433,Champions,Low
12611,52,1,1193.32,3,1,3,313,Promising,Low
12612,74,1,704.04,3,1,2,312,Promising,Low
12613,57,10,6835.07,3,4,4,344,Champions,Low
12614,278,1,315.6,2,1,1,211,Lost,Low
12615,2,8,5740.98,4,4,4,444,Champions,Low
12616,95,3,1131.1,3,2,3,323,Loyal,Low
12617,29,1,355.53,3,1,2,312,Promising,Low
12618,22,1,177.31,4,1,1,411,Promising,Low
12619,16,10,3781.38,4,4,4,444,Champions,Low
12620,15,3,1339.41,4,2,3,423,Loyal,Low
12621,2,35,24775.81,4,4,4,444,Champions,Low
12622,232,1,180.1,2,1,1,211,Lost,Low
12623,276,7,3747.84,2,3,4,234,Need Attention,High
12624,106,2,641.13,2,2,2,222,Need Attention,Low
12625,212,4,5164.88,2,3,4,234,Need Attention,High
12626,23,9,6620.48,4,4,4,444,Champions,Low
12627,11,7,4478.53,4,3,4,434,Champions,Low
12628,4,3,786.46,4,2,2,422,Loyal,Low
12629,386,2,1558.22,1,2,3,123,Lost,Low
12630,10,2,1270.88,4,2,3,423,Loyal,Low
12631,57,6,3481.57,3,3,4,334,Champions,Low
12632,521,2,804.88,1,2,2,122,Lost,Low
12633,59,7,5678.16,3,3,4,334,Champions,Low
12634,536,2,490.0,1,2,2,122,Lost,Low
12635,90,4,2930.41,3,3,4,334,Champions,High
12636,739,1,141.0,1,1,1,111,Lost,Low
12637,67,12,8340.31,3,4,4,344,Champions,Low
12638,33,2,921.49,3,2,3,323,Loyal,Low
12639,239,3,1312.37,2,2,3,223,Need Attention,Low
12640,24,3,1174.58,4,2,3,423,Loyal,Low
12641,115,1,185.9,2,1,1,211,Lost,Low
12642,25,3,1013.26,4,2,3,423,Loyal,Low
12643,128,12,8350.42,2,4,4,244,Need Attention,High
12644,130,4,1918.49,2,3,3,233,Need Attention,High
12645,34,8,3539.3,3,4,4,344,Champions,Low
12646,5,2,1346.97,4,2,3,423,Loyal,Low
12647,22,36,17924.35,4,4,4,444,Champions,Low
12648,155,4,1112.0,2,3,3,233,Need Attention,High
12649,107,8,2294.65,2,4,3,243,Need Attention,High
12650,3,1,314.44,4,1,1,411,Promising,Low
12651,335,4,377.75,2,3,2,232,Need Attention,High
12652,331,2,1017.03,2,2,3,223,Need Attention,Low
12653,149,3,4160.83,2,2,4,224,Need Attention,Low
12654,11,5,601.98,4,3,2,432,Loyal,Low
12655,424,1,261.35,1,1,1,111,Lost,Low
12656,17,8,6407.83,4,4,4,444,Champions,Low
12657,11,4,1643.18,4,3,3,433,Champions,Low
12658,19,1,686.05,4,1,2,412,Promising,Low
12659,30,1,91.68,3,1,1,311,Promising,Low
12660,11,1,245.1,4,1,1,411,Promising,Low
12661,436,1,162.0,1,1,1,111,Lost,Low
12662,1,20,6988.02,4,4,4,444,Champions,Low
12663,625,2,239.4,1,2,1,121,Lost,Low
12664,8,11,6070.04,4,4,4,444,Champions,Low
12665,325,3,313.6,2,2,1,221,Need Attention,Low
12666,394,1,1248.42,1,1,3,113,Lost,Low
12667,58,1,620.13,3,1,2,312,Promising,Low
12668,12,10,11444.68,4,4,4,444,Champions,Low
12669,151,3,2744.03,2,2,4,224,Need Attention,Low
12670,10,7,3760.29,4,3,4,434,Champions,Low
12671,606,1,2622.48,1,1,4,114,Lost,Low
12672,330,2,437.05,2,2,2,222,Need Attention,Low
12673,5,3,1230.02,4,2,3,423,Loyal,Low
12674,39,4,1970.6,3,3,3,333,Champions,Low
12675,554,2,958.5,1,2,3,123,Lost,Low
12676,25,11,2843.09,4,4,4,444,Champions,Low
12677,555,2,395.1,1,2,2,122,Lost,Low
12678,42,21,34281.18,3,4,4,344,Champions,Low
12679,59,4,1113.02,3,3,3,333,Champions,Low
12680,1,4,880.81,4,3,2,432,Loyal,Low
12681,15,45,30868.28,4,4,4,444,Champions,Low
12682,4,52,24033.91,4,4,4,444,Champions,Low
12683,4,21,12696.78,4,4,4,444,Champions,Low
12684,8,7,2283.63,4,3,3,433,Champions,Low
12685,28,6,2863.08,3,3,4,334,Champions,Low
12686,372,1,178.28,2,1,1,211,Lost,Low
12687,481,2,2138.91,1,2,3,123,Lost,Low
12688,114,1,4873.81,2,1,4,214,Lost,Low
12689,26,2,1247.61,4,2,3,423,Loyal,Low
12690,206,1,389.01,2,1,2,212,Lost,Low
12691,28,7,1170.4,3,3,3,333,Champions,Low
12692,637,1,110.95,1,1,1,111,Lost,Low
12693,127,7,1703.02,2,3,3,233,Need Attention,High
12694,70,3,1843.35,3,2,3,323,Loyal,Low
12695,7,7,1407.12,4,3,3,433,Champions,Low
12696,435,2,851.91,1,2,2,122,Lost,Low
12697,29,3,957.59,3,2,3,323,Loyal,Low
12698,590,1,339.75,1,1,1,111,Lost,Low
12699,418,1,638.11,1,1,2,112,Lost,Low
12700,8,4,4939.99,4,3,4,434,Champions,Low
12701,80,6,2446.41,3,3,4,334,Champions,Low
12702,20,1,219.0,4,1,1,411,Promising,Low
12703,71,4,1006.53,3,3,3,333,Champions,Low
12704,7,8,2340.84,4,4,4,444,Champions,Low
12705,15,14,11762.1,4,4,4,444,Champions,Low
12707,292,1,603.42,2,1,2,212,Lost,Low
12708,30,18,5314.1,3,4,4,344,Champions,Low
12709,15,34,31093.34,4,4,4,444,Champions,Low
12710,97,3,1149.02,2,2,3,223,Need Attention,Low
12711,612,2,1339.05,1,2,3,123,Lost,Low
12712,29,21,7193.66,3,4,4,344,Champions,Low
12713,1,1,848.55,4,1,2,412,Promising,Low
12714,9,12,14093.71,4,4,4,444,Champions,Low
12715,106,1,353.86,2,1,2,212,Lost,Low
12716,4,2,1053.49,4,2,3,423,Loyal,Low
12717,151,3,1308.91,2,2,3,223,Need Attention,Low
12718,71,1,238.25,3,1,1,311,Promising,Low
12719,5,2,644.95,4,2,2,422,Loyal,Low
12720,3,30,8260.67,4,4,4,444,Champions,Low
12721,32,8,4013.08,3,4,4,344,Champions,Low
12722,85,4,997.63,3,3,3,333,Champions,Low
12723,4,5,725.07,4,3,2,432,Loyal,Low
12724,5,7,2317.52,4,3,4,434,Champions,Low
12725,371,4,2694.56,2,3,4,234,Need Attention,High
12726,28,11,4014.6,3,4,4,344,Champions,Low
12727,11,10,5679.53,4,4,4,444,Champions,Low
12728,71,5,1070.17,3,3,3,333,Champions,Low
12729,114,1,453.01,2,1,2,212,Lost,Low
12730,522,1,829.25,1,1,2,112,Lost,Low
12731,24,17,25775.71,4,4,4,444,Champions,Low
12732,180,1,236.26,2,1,1,211,Lost,Low
12733,234,4,2424.87,2,3,4,234,Need Attention,High
12734,353,3,639.65,2,2,2,222,Need Attention,Low
12735,315,2,779.57,2,2,2,222,Need Attention,Low
12736,333,1,234.0,2,1,1,211,Lost,Low
12737,499,2,3710.5,1,2,4,124,Lost,Low
12738,372,1,310.7,2,1,1,211,Lost,Low
12739,78,4,2726.73,3,3,4,334,Champions,Low
12740,64,1,427.6,3,1,2,312,Promising,Low
12741,529,2,406.07,1,2,2,122,Lost,Low
12742,626,1,1201.52,1,1,3,113,Lost,Low
12743,134,2,546.43,2,2,2,222,Need Attention,Low
12744,52,11,25317.06,3,4,4,344,Champions,Low
12745,487,3,925.41,1,2,3,123,Lost,Low
12746,541,1,254.55,1,1,1,111,Lost,Low
12747,2,26,9276.54,4,4,4,444,Champions,Low
12748,1,336,56599.39,4,4,4,444,Champions,Low
12749,4,9,6897.36,4,4,4,444,Champions,Low
12750,129,1,275.88,2,1,1,211,Lost,Low
12751,445,1,268.27,1,1,1,111,Lost,Low
12752,81,1,4366.78,3,1,4,314,Promising,Low
12753,23,6,21429.39,4,3,4,434,Champions,Low
12754,236,3,3010.74,2,2,4,224,Need Attention,Low
12755,281,11,9030.66,2,4,4,244,Need Attention,High
12756,87,1,112.08,3,1,1,311,Promising,Low
12757,16,13,7857.1,4,4,4,444,Champions,Low
12758,117,7,9903.24,2,3,4,234,Need Attention,High
12759,52,8,5020.74,3,4,4,344,Champions,Low
12760,456,1,347.8,1,1,1,111,Lost,Low
12761,458,2,782.95,1,2,2,122,Lost,Low
12762,8,2,1898.52,4,2,3,423,Loyal,Low
12763,138,2,814.16,2,2,2,222,Need Attention,Low
12764,317,1,1693.88,2,1,3,213,Lost,Low
12765,472,6,1404.58,1,3,3,133,At Risk,High
12766,4,9,10068.28,4,4,4,444,Champions,Low
12767,376,1,949.82,2,1,3,213,Lost,Low
12768,451,1,168.69,1,1,1,111,Lost,Low
12769,239,1,1143.6,2,1,3,213,Lost,Low
12770,211,2,3246.45,2,2,4,224,Need Attention,Low
12771,486,1,282.3,1,1,1,111,Lost,Low
12772,60,1,892.47,3,1,2,312,Promising,Low
12773,564,1,124.25,1,1,1,111,Lost,Low
12774,536,1,98.7,1,1,1,111,Lost,Low
12775,17,7,1686.12,4,3,3,433,Champions,Low
12776,668,1,55.5,1,1,1,111,Lost,Low
12777,458,1,519.45,1,1,2,112,Lost,Low
12778,20,9,1775.68,4,4,3,443,Champions,Low
12779,38,14,6722.27,3,4,4,344,Champions,Low
12780,599,1,337.4,1,1,1,111,Lost,Low
12781,64,2,826.74,3,2,2,322,Loyal,Low
12782,5,11,4618.24,4,4,4,444,Champions,Low
12783,2,6,2225.91,4,3,3,433,Champions,Low
12784,9,3,1804.75,4,2,3,423,Loyal,Low
12785,364,3,1100.4,2,2,3,223,Need Attention,Low
12786,610,1,728.5,1,1,2,112,Lost,Low
12787,10,4,862.18,4,3,2,432,Loyal,Low
12788,463,4,444.9,1,3,2,132,At Risk,High
12789,65,3,273.35,3,2,1,321,Loyal,Low
12790,192,2,591.85,2,2,2,222,Need Attention,Low
12791,374,6,1056.11,2,3,3,233,Need Attention,High
12792,257,2,827.01,2,2,2,222,Need Attention,Low
12793,335,3,1017.33,2,2,3,223,Need Attention,Low
12794,53,2,860.41,3,2,2,322,Loyal,Low
12795,19,1,430.48,4,1,2,412,Promising,Low
12796,628,1,381.0,1,1,2,112,Lost,Low
12797,366,2,806.11,2,2,2,222,Need Attention,Low
12798,10,4,8510.93,4,3,4,434,Champions,Low
12799,529,1,219.35,1,1,1,111,Lost,Low
12800,470,3,584.25,1,2,2,122,Lost,Low
12801,501,1,1071.82,1,1,3,113,Lost,Low
12802,187,7,2416.42,2,3,4,234,Need Attention,High
12803,393,1,1092.81,1,1,3,113,Lost,Low
12804,466,2,327.02,1,2,1,121,Lost,Low
12805,382,4,1434.95,1,3,3,133,At Risk,High
12806,435,4,2878.96,1,3,4,134,At Risk,High
12807,383,1,330.35,1,1,1,111,Lost,Low
12808,37,5,906.1,3,3,3,333,Champions,Low
12809,178,3,1755.94,2,2,3,223,Need Attention,Low
12810,535,2,534.99,1,2,2,122,Lost,Low
12811,261,5,1033.9,2,3,3,233,Need Attention,High
12812,45,1,229.64,3,1,1,311,Promising,Low
12813,502,3,1687.8,1,2,3,123,Lost,Low
12814,102,1,125.92,2,1,1,211,Lost,Low
12815,148,2,1063.46,2,2,3,223,Need Attention,Low
12816,96,2,572.2,3,2,2,322,Loyal,Low
12817,281,3,690.98,2,2,2,222,Need Attention,Low
12818,262,1,1542.08,2,1,3,213,Lost,Low
12819,458,1,540.52,1,1,2,112,Lost,Low
12820,3,11,2689.52,4,4,4,444,Champions,Low
12821,214,2,220.8,2,2,1,221,Need Attention,Low
12822,71,2,948.88,3,2,3,323,Loyal,Low
12823,75,18,6501.5,3,4,4,344,Champions,Low
12824,60,1,397.12,3,1,2,312,Promising,Low
12825,521,2,518.63,1,2,2,122,Lost,Low
12826,3,12,2955.75,4,4,4,444,Champions,Low
12827,6,3,430.15,4,2,2,422,Loyal,Low
12828,3,6,1018.71,4,3,3,433,Champions,Low
12829,337,3,385.3,2,2,2,222,Need Attention,Low
12830,38,6,6814.64,3,3,4,334,Champions,Low
12831,262,3,451.11,2,2,2,222,Need Attention,Low
12832,32,2,383.03,3,2,2,322,Loyal,Low
12833,145,1,417.38,2,1,2,212,Lost,Low
12834,283,1,312.38,2,1,1,211,Lost,Low
12835,428,41,6043.31,1,4,4,144,At Risk,High
12836,59,15,6585.62,3,4,4,344,Champions,Low
12837,173,2,688.41,2,2,2,222,Need Attention,Low
12838,34,10,3398.48,3,4,4,344,Champions,Low
12839,3,26,10071.73,4,4,4,444,Champions,Low
12840,144,7,4041.97,2,3,4,234,Need Attention,High
12841,5,40,7540.68,4,4,4,444,Champions,Low
12842,70,4,1917.99,3,3,3,333,Champions,Low
12843,66,30,6588.41,3,4,4,344,Champions,Low
12844,29,4,648.6,3,3,2,332,Loyal,Low
12845,267,4,354.09,2,3,2,232,Need Attention,High
12846,682,1,15.58,1,1,1,111,Lost,Low
12847,22,2,1636.9,4,2,3,423,Loyal,Low
12848,676,1,208.0,1,1,1,111,Lost,Low
12849,31,6,3090.56,3,3,4,334,Champions,Low
12850,446,1,330.0,1,1,1,111,Lost,Low
12851,97,2,284.13,2,2,1,221,Need Attention,Low
12852,295,1,311.55,2,1,1,211,Lost,Low
12853,135,11,3907.5,2,4,4,244,Need Attention,High
12854,79,7,2994.02,3,3,4,334,Champions,Low
12855,373,4,650.94,2,3,2,232,Need Attention,High
12856,8,6,2179.93,4,3,3,433,Champions,Low
12857,211,6,3688.0,2,3,4,234,Need Attention,High
12858,383,1,177.92,1,1,1,111,Lost,Low
12859,459,1,575.1,1,1,2,112,Lost,Low
12860,693,1,55.47,1,1,1,111,Lost,Low
12861,620,1,68.25,1,1,1,111,Lost,Low
12862,426,2,1008.32,1,2,3,123,Lost,Low
12863,52,6,2792.55,3,3,4,334,Champions,Low
